"","names","n_hits","pident_max","pident_min","evalue_max","evalue_min"
"19","Acamptopappus sphaerocephalus;Chrysothamnus depressus;Chrysothamnus greenei;Chrysothamnus vaseyi;Chrysothamnus viscidiflorus",2,99.301,99.301,3.89e-143,3.89e-143
"23","Acamptopappus sphaerocephalus;Chrysothamnus depressus;Chrysothamnus greenei;Chrysothamnus vaseyi;Chrysothamnus viscidiflorus;Tonestus lyallii",1,96.167,96.167,3.98e-128,3.98e-128
"17","Agrostis meyenii;Agrostis scabra;Agrostis vinealis",1,98.962,98.962,1.4e-142,1.4e-142
"25","Agrostis scabra",2,99.654,99.308,5.02e-147,2.34e-145
"1","Artemisia arbuscula",131,100,98.649,5.12e-152,2.4e-145
"26","Artemisia constricta",2,98.649,98.311,2.4e-145,1.12e-143
"29","Artemisia constricta;Artemisia tripartita",1,98.649,98.649,2.4e-145,2.4e-145
"5","Artemisia tripartita",74,100,98.986,5.12e-152,5.16e-147
"3","Boechera cobrensis;Boechera collinsii;Boechera cusickii;Boechera divaricarpa;Boechera formosa;Boechera lignifera;Boechera lyallii;Boechera pallidifolia;Boechera pendulocarpa;Boechera polyantha;Boechera retrofracta;Boechera stricta;Boechera villosa;Boechera williamsii",30,100,99.245,7.72e-135,1.67e-131
"11","Boechera divaricarpa;Boechera stricta",12,100,99.245,7.72e-135,1.67e-131
"12","Chaenactis douglasii",11,99.329,96.656,8.64e-150,1.9e-136
"7","Chaenactis santolinoides",7,97.993,96.98,4.09e-143,4.11e-138
"8","Chrysothamnus depressus;Chrysothamnus greenei;Chrysothamnus vaseyi;Chrysothamnus viscidiflorus",57,100,95.47,1.8e-146,3.08e-124
"21","Chrysothamnus stylosus",1,95.122,95.122,1.44e-122,1.44e-122
"4","Chrysothamnus viscidiflorus",60,99.653,98.611,6.47e-146,6.52e-141
"2","Descurainia californica",13,99.24,98.479,2.14e-130,4.64e-127
"22","Elymus abolinii;Elymus dolichatherus;Elymus elymoides;Elymus elymoides subsp. californicus;Elymus spicatus",1,99.656,99.656,1.41e-147,1.41e-147
"20","Ericameria discoidea var. linearis;Ericameria nauseosa",5,100,98.966,1.08e-148,3.91e-143
"9","Erigeron pumilus",25,98.587,95.833,3.84e-138,2.38e-115
"10","Erigeron pumilus;Erigeron tweedyi",10,98.587,97.509,3.84e-138,5.01e-132
"18","Erigeron tweedyi",1,97.509,97.509,1.8e-131,1.8e-131
"28","Lupinus andersonii;Lupinus arboreus;Lupinus argenteus;Lupinus chamissonis;Lupinus duranii;Lupinus excubitus;Lupinus lepidus;Lupinus microcarpus var. densiflorus;Lupinus minimus;Lupinus polyphyllus;Lupinus polyphyllus var. humicola;Lupinus succulentus",1,99.317,99.317,5.1e-147,5.1e-147
"15","Muhlenbergia richardsonis",1,97.895,97.895,2.32e-135,2.32e-135
"14","Physaria occidentalis",6,98.864,96.97,2.79e-129,6.07e-121
"6","Pinus albicaulis;Pinus koraiensis;Pinus pumila",3,99.048,99.048,1.52e-157,1.52e-157
"27","Pinus culminicola;Pinus discolor;Pinus edulis;Pinus quadrifolia",1,99.048,99.048,1.52e-157,1.52e-157
"30","Poa palustris;Poa urssulensis var. kanboensis",1,100,100,6.39e-146,6.39e-146
"24","Primula meadia;Primula suffrutescens",2,97.26,97.26,1.84e-136,1.84e-136
"13","Rosa carolina;Rosa fedtschenkoana;Rosa hybrid cultivar;Rosa omeiensis;Rosa spinosissima;Rosa xanthina;Rosa zhongdianensis",7,99.647,98.94,3.82e-143,8.26e-140
"16","Rosa primula",3,99.648,98.587,1.07e-143,3.86e-138
